description,category
Chiedere al collega di condividere i file della presentazione,lavoro
Ripassare gli appunti di anatomia prima della prova pratica,studio
Confermare urgentemente la prenotazione del volo o la perdo,urgente
Leggere altri due capitoli del libro di Murakami,personale
Ricordarmi di aggiornare l'elenco dei fornitori approvati,lavoro
Sistemare la bibliografia in ordine alfabetico,studio
"Ritirare il referto medico prima delle 13, poi chiude l'ambulatorio",urgente
Scrivere una lettera alla nonna,personale
Studiare i verbi irregolari inglesi per il test,studio
Ripassare le formule di trigonometria per il compito,studio
Devo rinnovare la ricetta medica prima che chiuda l'ambulatorio,urgente
"C'è una perdita dal tetto, chiamare subito qualcuno prima che peggiori",urgente
Cercare video didattici per capire meglio la termodinamica,studio
"Perso il volo delle 10, chiamare subito la compagnia aerea",urgente
Preparare le domande per l'intervista al giornale di settore,lavoro
Chiedere chiarimenti al professore sul programma d'esame,studio
Rinnovare la carta d'identità in comune,personale
Scrivere il verbale della riunione di ieri e inviarlo al team,lavoro
Verificare lo stato dei ticket aperti sul progetto Titan,lavoro
Prenotare il pediatra per il controllo del bambino,personale
Fissare un appuntamento col commercialista per le fatture,lavoro
Preparare le domande per il colloquio di giovedì mattina,lavoro
Fare esercizi di stretching la mattina,personale
"Chiamare il farmacista di turno, serve l'insulina stasera",urgente
"Chiamare subito il fabbro, la porta blindata non si apre",urgente
Comprare un regalo per l'anniversario di nozze,personale
Iscrivere il cane al corso di addestramento,personale
Studiare le equazioni differenziali per l'esame di analisi 2,studio
Rispondere all'agenzia immobiliare prima che l'appartamento venga preso da altri,urgente
Rivedere gli esempi svolti a lezione di algoritmi,studio
Organizzare il trasloco della postazione al terzo piano,lavoro
Chiamare l'amministrazione per il rimborso delle spese di trasferta,lavoro
Ripassare le formule di chimica inorganica,studio
"Il frigorifero ha smesso di funzionare, tutto il cibo si sta rovinando",urgente
Ripassare i capitoli di biologia cellulare per l'orale,studio
Portare le scarpe dal calzolaio,personale
Prenotare un tavolo per cena con Luca e Sara sabato sera,personale
Contattare l'agenzia viaggi per il volo a Berlino,lavoro
Cercare in biblioteca i testi per la ricerca di storia dell'arte,studio
Confermare la partecipazione al webinar di formazione interna,lavoro
Devo ritirare i referti delle analisi prima di mezzogiorno,urgente
"Mi hanno chiamato dall'ospedale, devo andare subito",urgente
"Chiamare l'elettricista, scintille dalla presa in cucina",urgente
Rispondere al messaggio della banca sul pagamento sospeso,urgente
Devo scrivere e inviare la lettera di dimissioni entro oggi,urgente
Devo firmare e rispedire il contratto entro oggi pomeriggio,urgente
Portare i pantaloni dal sarto per l'orlo,personale
La macchina non parte e devo essere in ufficio tra 20 minuti,urgente
Scrivere gli auguri di Natale per parenti e amici,personale
Pulire il forno che ormai è da un mese che rimando,personale
Rispondere all'invito al matrimonio di Chiara,personale
Finire gli esercizi di algebra lineare entro venerdì,studio
Rispondere al recruiter entro oggi per confermare il colloquio,urgente
Studiare per il test di ingresso di ingegneria,studio
"La caldaia fa uno strano rumore, rischio di dover chiamare subito qualcuno",urgente
Preparare i materiali per la formazione dei nuovi assunti,lavoro
Chiamare l'assicurazione per rinnovare la polizza casa,personale
Preparare la relazione finale del tirocinio,studio
Rispondere al messaggio di Anna che aspetta da giorni,personale
Buttare via i vestiti che non uso più,personale
Portare le batterie esauste all'isola ecologica,personale
Controllare che il pagamento del fornitore sia stato registrato,lavoro
"Fare la spesa settimanale, non dimenticare il caffè",personale
Prendere appunti dettagliati durante la lezione di diritto,studio
Rinnovare la tessera della biblioteca,personale
Prenotare la sala riunioni per il kickoff del progetto Atlas,lavoro
Fare gli esercizi assegnati di calcolo differenziale,studio
Studiare i principi di termodinamica per l'esame,studio
Chiamare Giulia per organizzare l'uscita di sabato,personale
Mandare il follow-up dopo la call con il fornitore,lavoro
"Portare il cane dal veterinario, ha ingerito qualcosa di strano",urgente
Portare Fido dal veterinario per il vaccino,personale
Finire di caricare le fatture sul gestionale entro oggi,lavoro
Prendere in prestito il manuale di statistica in biblioteca,studio
Aggiornare il piano di studi con la segreteria,studio
"Chiamare subito l'idraulico, sta allagando il bagno",urgente
Organizzare gruppo di studio per l'esame di statistica,studio
Fare la dichiarazione dei redditi con il commercialista,personale
Ricordarsi di prendere la vitamina D ogni mattina,personale
Chiedere al cliente il feedback sulla prima bozza del sito,lavoro
Chiedere al relatore un incontro per discutere i capitoli,studio
Portare i bambini a lezione di nuoto,personale
Fissare un appuntamento dal fisioterapista per la schiena,personale
Preparare cartelloni per l'esposizione di gruppo,studio
Preparare i badge visitatori per l'evento di giovedì,lavoro
Scrivere il feedback per la valutazione trimestrale di Andrea,lavoro
"Sistemare la cantina, c'è troppa roba accumulata",personale
Contattare il broker assicurativo per la polizza aziendale,lavoro
Fare il pieno di carburante prima del viaggio,personale
"Portare il gatto dal veterinario, non mangia da due giorni",urgente
Preparare la checklist per la chiusura del progetto entro fine mese,lavoro
Rivedere gli esercizi di fisica sul moto circolare,studio
Preparare i test di regressione prima del deploy in produzione,lavoro
Chiedere a Laura i dati aggiornati per il report mensile,lavoro
Controllare lo stato di avanzamento del progetto con il PM,lavoro
Cucinare qualcosa di nuovo per cena stasera,personale
Ordinare le medicine in farmacia per papà,personale
Confermare l'ordine dei nuovi computer con l'ufficio acquisti,lavoro
Organizzare il materiale per la maturità,studio
"Ho perso il cellulare con tutti i documenti, bloccare la SIM ora",urgente
Studiare per il quiz di anatomia della settimana prossima,studio
"Pagare il bollo auto oggi, ultimo giorno utile",urgente
Prenotare il taglio di capelli dei bambini,personale
Fare un salto dal parrucchiere per il taglio,personale
Aggiornare la lista della spesa sul frigo,personale
Fare gli esercizi di sintassi latina assegnati,studio
Controllare le performance della campagna pubblicitaria di questo mese,lavoro
"Devo rispedire il pacco reso entro oggi, ultimo giorno",urgente
Portare in biblioteca i libri di letteratura inglese,studio
"Chiamare l'assicurazione, ho appena avuto un piccolo incidente in auto",urgente
Cercare articoli scientifici per la bibliografia della tesi,studio
Rileggere la mail del professore sulle modalità d'esame,studio
Rispondere urgentemente all'email del capo prima delle 18,urgente
Ritirare gli occhiali nuovi dall'ottico,personale
Serve firmare urgentemente i moduli prima della chiusura degli uffici,urgente
Studiare i principali autori della letteratura latina,studio
Stampare le slide della lezione di ingegneria del software,studio
Fare pratica con esercizi di logica per il test d'ingresso,studio
Controllare le scadenze dell'assicurazione auto,personale
Devo firmare i documenti per il nuovo contratto di locazione ufficio,lavoro
Compilare il timesheet della settimana entro oggi,lavoro
"Mio marito è caduto dalle scale, chiamare il 118",urgente
Chiamare il consorzio per il problema del riscaldamento,personale
Fare schema riassuntivo di anatomia per l'orale,studio
Passare l'aspirapolvere in salotto e in cucina,personale
Comprare le pile per il telecomando,personale
Ripassare i concetti chiave di marketing prima dell'esame,studio
"Corrente saltata in tutta casa, chiamare l'elettricista subito",urgente
Portare la macchina dal meccanico per il tagliando,personale
"Chiudere il gas prima di uscire, sento odore strano",urgente
"Mio figlio ha perso l'autobus, devo andarlo a prendere subito",urgente
"Chiamare l'ufficio passaporti, l'appuntamento è tra un'ora",urgente
Riorganizzare gli appunti del semestre per il ripasso finale,studio
"Il vicino segnala una perdita di gas, uscire di casa subito",urgente
Sistemare i cassetti della cucina,personale
"Rispondere al cliente prima che scada l'offerta, mancano due ore",urgente
Contattare l'agenzia immobiliare per il rinnovo del contratto,personale
Cercare un nuovo hobby da provare nel weekend,personale
Fare la spesa per la cena di compleanno di papà,personale
Sistemare la password del wifi di casa,personale
La stampante si è rotta e la scadenza è tra un'ora,urgente
Chiamare Marco per confermare la riunione di martedì alle 15,lavoro
Rivedere gli appunti di chimica organica del professor Rossi,studio
Innaffiare le piante del balcone,personale
Ripassare il teorema di Pitagora e le sue applicazioni,studio
"Il portone di casa si è bloccato, chiamare un fabbro urgentemente",urgente
Sistemare il calendario condiviso con le ferie del reparto,lavoro
Fare il bucato e stendere prima che piova,personale
"Consegnare la relazione entro mezzogiorno, non posso rimandare",urgente
Finire le flashcard di vocabolario spagnolo,studio
"Chiudere il rubinetto principale, perdita d'acqua importante in cantina",urgente
Studiare a memoria le formule di fisica quantistica,studio
Rispondere al cliente arrabbiato prima che chiuda l'ufficio,urgente
"Mia madre si sente male, devo andare da lei subito",urgente
Cambiare le lenzuola del letto,personale
Ricordarmi la scadenza per l'invio del bilancio consuntivo,lavoro
Devo ritirare la medicina in farmacia prima che chiuda,urgente
Ricordarmi di stampare i badge per l'evento aziendale,lavoro
Rivedere insieme al team legale le clausole del nuovo contratto,lavoro
Devo pagare l'affitto entro oggi o rischio la mora,urgente
Organizzare l'armadio della camera da letto,personale
Studiare le poesie di Leopardi per l'interrogazione,studio
Ripassare i verbi al passato remoto,studio
Prenotare la visita oculistica di controllo,personale
Portare a termine la relazione di laboratorio di fisica,studio
Sistemare il balcone in vista dell'estate,personale
Rivedere il glossario di economia per l'esame orale,studio
Preparare le slide per lo stand-up di domani mattina,lavoro
"Pagare subito la retta scolastica, oggi è l'ultimo giorno utile",urgente
Ricordarmi di aggiornare la firma email con il nuovo ruolo,lavoro
"Blocco della carta bancomat, contattare la banca immediatamente",urgente
Sistemare gli accessi al sistema per il nuovo stagista,lavoro
Studiare il capitolo sulle reti neurali per l'esame di AI,studio
Andare a trovare la zia in ospedale,personale
Organizzare le foto delle vacanze in un album,personale
Parlare con il capo del budget per il prossimo trimestre,lavoro
Mandare il promemoria alla riunione delle 10 con il fornitore,lavoro
Rispondere al cliente che ha scritto per il reclamo,lavoro
Portare a spasso il cane prima di cena,personale
Prenotare un massaggio per rilassarmi un po',personale
"Il tubo dell'acqua è scoppiato in cucina, serve un idraulico ora",urgente
Fare un riassunto del manuale di psicologia dello sviluppo,studio
Controllare il programma d'esame di analisi matematica,studio
Sistemare l'agenda della trasferta a Roma della prossima settimana,lavoro
Rivedere insieme al collega le metriche del sito la settimana scorsa,lavoro
Preparare slide per l'esposizione orale di antropologia,studio
Studiare il capitolo sulla globalizzazione per scienze politiche,studio
"Rispondere al giudice, scadenza del ricorso è oggi",urgente
Prendere appuntamento dal dermatologo per un neo,personale
Rispondere al recruiter di LinkedIn per la posizione aperta,lavoro
Confermare entro un'ora la disponibilità per il colloquio di lavoro,urgente
Iscriversi all'appello di fisica del 15 settembre,studio
Fare pratica di conversazione in tedesco prima dell'orale,studio
Devo confermare il pagamento della caparra entro le 14,urgente
Ricordarmi di inviare il preventivo a Bianchi Spa,lavoro
Studiare per il test di ammissione a medicina,studio
"Rispondere al notaio, l'atto va firmato entro oggi",urgente
Organizzare il turno di reperibilità per il weekend con il team tecnico,lavoro
Fare simulazione d'esame di diritto costituzionale,studio
"Consegnare il progetto entro le 17, il cliente aspetta",urgente
Fare pratica con gli esercizi di programmazione in Python,studio
Iscriversi alla piscina comunale per l'estate,personale
Rispondere all'email del cliente che chiede uno sconto sul rinnovo,lavoro
Completare il laboratorio di chimica entro giovedì,studio
Fare il debrief con il team dopo la demo al cliente,lavoro
Fissare la videochiamata con il team di Londra,lavoro
Approvare le ferie richieste dal team entro venerdì,lavoro
Fare esercizi extra di matematica finanziaria,studio
Ripassare capitolo 3 di Analisi 1 prima dell'esame,studio
Devo inviare il bonifico prima delle 16 per lo stipendio,urgente
Devo fare il backup dei file prima della migrazione server,lavoro
"Chiamare la banca, carta di credito bloccata per un pagamento sospetto",urgente
Studiare bene le date della Seconda Guerra Mondiale,studio
Ripassare bene il diritto amministrativo prima dell'orale,studio
Studiare i casi clinici per l'esame di medicina interna,studio
Preparare la valigia per il weekend fuori porta,personale
Rispondere subito al messaggio del proprietario di casa,urgente
Ritirare il pacco in posta entro sabato,personale
Devo rivedere le policy aziendali sullo smart working,lavoro
Rifare il letto e aprire le finestre appena sveglio,personale
Organizzare la festa di compleanno di Marco,personale
Rivedere la bozza del contratto prima dell'invio al cliente,lavoro
Preparare l'analisi di mercato per la riunione strategica,lavoro
Pagare la bolletta della luce entro oggi o mi staccano la corrente,urgente
Devo caricare i documenti sul portale entro le 18,lavoro
Pagare l'affitto entro il 5 del mese,personale
Verificare le note spese prima di consegnarle all'amministrazione,lavoro
"Serve portare urgentemente il gatto in clinica, respira a fatica",urgente
"Presentazione da finire entro un'ora, sono in forte ritardo",urgente
Rivedere le slide di microeconomia prima della lezione,studio
Aggiornare gli appunti con le correzioni fatte in classe,studio
"Rispondere all'avvocato, l'udienza è stata anticipata a domani mattina",urgente
Rivedere gli appunti presi oggi a lezione di sociologia,studio
Fare il riassunto del capitolo sulla Rivoluzione Francese,studio
Rileggere le fonti primarie per la tesi di laurea,studio
Preparare domande di ripasso da fare con i compagni di corso,studio
"Rispondere entro un'ora alla proposta di lavoro, altrimenti decade",urgente
Studiare i teoremi di geometria analitica,studio
"Chiamare il meccanico, i freni fanno un rumore preoccupante",urgente
"Chiamare l'assistenza tecnica, il sito aziendale è down in questo momento",urgente
"Scadenza fattura fornitore oggi, devo bonificare subito",urgente
Controllare orario delle lezioni della prossima settimana,studio
Preparare la presentazione per il seminario di storia moderna,studio
Chiamare la banca per chiarire un addebito strano,personale
Ricordarmi di rinnovare la licenza software entro fine mese,lavoro
Scrivere l'introduzione della tesi entro la fine del mese,studio
Organizzare gli scatoloni per il trasloco di ottobre,personale
"La caldaia perde acqua, chiamare il tecnico immediatamente",urgente
Fare gli esercizi di probabilità e statistica,studio
Ritirare i vestiti in lavanderia entro venerdì,personale
Mandare il calendario riunioni aggiornato a tutto il team entro domani,lavoro
Devo finire la presentazione per il cliente Rossi,lavoro
Aggiornare la documentazione tecnica dopo l'ultima release,lavoro
Preparare il report sui KPI del trimestre per la direzione,lavoro
Consegnare la tesina di filosofia entro lunedì,studio
Aggiornare la roadmap del progetto sul tool interno,lavoro
Portare appunti aggiornati alla lezione di domani,studio
Fissare la call di allineamento settimanale con il team remoto,lavoro
"Ho dimenticato le chiavi dentro casa, chiamare un fabbro ora",urgente
Chiamare il fornitore per sollecitare la consegna del materiale,lavoro
Devo prenotare il taxi tra dieci minuti o perdo l'aereo,urgente
Rivedere il piano cartesiano e le funzioni,studio
Ripassare le regole grammaticali del congiuntivo,studio
Sistemare la slide finale della presentazione per il board,lavoro
"Portare mio padre in pronto soccorso, dolore al petto",urgente
Devo confermare la data del lancio con il team di prodotto,lavoro
Prenotare appuntamento con il tutor per aiuto in analisi,studio
Prenotare un tavolo per il compleanno di zia Rita,personale
"Il gas continua a fuoriuscire, chiamare subito il numero verde",urgente
Devo ritirare il pacco urgente prima che il corriere se ne vada,urgente
Portare i libri in biblioteca prima che scada il prestito,personale
"Prenotare urgentemente una visita dal dentista, dolore fortissimo",urgente
Serve pagare l'anticipo entro oggi per confermare la prenotazione,urgente
"Chiamare subito la scuola, mio figlio si è fatto male",urgente
Fare gli esercizi di algoritmi e strutture dati,studio
Ricordarmi di compilare la valutazione annuale dei dipendenti,lavoro
Preparare la nota per il consiglio di amministrazione,lavoro
Chiamare l'elettricista per il lampadario del corridoio,personale
Riparare la sedia scricchiolante in sala da pranzo,personale
Devo pagare il ticket sanitario prima che chiuda lo sportello,urgente
Preparare i documenti per il rinnovo della patente,personale
Organizzare una cena tra vecchi amici del liceo,personale
Finire la traduzione del manuale prodotto per il cliente estero,lavoro
Devo controllare i turni del personale per la prossima settimana,lavoro
"Rinnovare urgentemente il passaporto, parto tra due giorni",urgente
Finire di leggere il romanzo per l'esame di letteratura italiana,studio
Rivedere il codice del progetto per l'esame di informatica,studio
Inviare la fattura numero 234 entro fine mese,lavoro
"Spegnere il fornello, sto uscendo di casa in questo momento",urgente
Cambiare l'olio motore della moto,personale
Finire l'esercitazione di statistica assegnata dal professore,studio
Fare la manicure prima dell'evento di sabato,personale
Controllare se ci sono nuovi materiali caricati sulla piattaforma del corso,studio
"La lavatrice sta allagando il bagno, chiudere l'acqua ora",urgente
Finire di scrivere le conclusioni della tesi,studio
Rinnovare l'assicurazione auto scaduta ieri,urgente
Buttare la carta e il vetro nei bidoni giusti,personale
Fare una passeggiata al parco domenica mattina,personale
Annaffiare l'orto e togliere le erbacce,personale
"Portare il bambino al pronto soccorso, si è tagliato con il vetro",urgente
Ricordarmi di stampare i contratti da firmare domani mattina,lavoro
"Devo prendere l'antibiotico entro un'ora, altrimenti salto la dose",urgente
Preparare il documento di sintesi per l'audit interno,lavoro
"Il computer si è bloccato prima di salvare la presentazione, urgentissimo",urgente
Prenotare aula studio in biblioteca per sabato pomeriggio,studio
Rinnovare l'abbonamento in palestra,personale
"Consegnare il curriculum aggiornato entro questa sera, colloquio domani",urgente
Aggiornare il CRM con i contatti raccolti alla fiera,lavoro
Provare quella nuova pizzeria di cui parla tutta la città,personale
Contattare l'ufficio HR per il congedo parentale,lavoro
Pagare la bolletta della luce prima della scadenza,personale
Studiare il francese con le flashcard prima del test,studio
Portare urgentemente i documenti in tribunale prima delle 12,urgente
Chiamare mamma per gli auguri di compleanno,personale
